,Name,Position,Full_URL
218,Treylon Burks,Arkansas,https://walterfootball.com/scoutingreport2022tburks.php
219,Jahan Dotson,Penn State,https://walterfootball.com/scoutingreport2022jdotson.php
220,Drake London,USC,https://walterfootball.com/scoutingreport2022dlondon.php
221,John Metchie,Alabama,https://walterfootball.com/scoutingreport2022jmetchie.php
222,Skyy Moore,Western Michigan,https://walterfootball.com/scoutingreport2022smoore.php
223,Chris Olave,Ohio State,https://walterfootball.com/scoutingreport2022colave.php
224,George Pickens,Georgia,https://walterfootball.com/scoutingreport2022gpickens.php
225,Alec Pierce,Cincinnati,https://walterfootball.com/scoutingreport2022apierce.php
226,Wan’Dale Robinson,Kentucky,https://walterfootball.com/scoutingreport2022wrobinson.php
227,Justyn Ross,Clemson,https://walterfootball.com/scoutingreport2022jross.php
228,Tyquan Thornton,Baylor,https://walterfootball.com/scoutingreport2022tthornton.php
229,Christian Watson,North Dakota State,https://walterfootball.com/scoutingreport2022cwatson.php
230,Jameson Williams,Alabama,https://walterfootball.com/scoutingreport2022jwilliams.php
231,Garrett Wilson,Ohio State,https://walterfootball.com/scoutingreport2022gwilson.php
232,Greg Dulcich,UCLA,https://walterfootball.com/scoutingreport2022gdulcich.php
233,Charlie Kolar,Iowa State,https://walterfootball.com/scoutingreport2022ckolar.php
234,Isaiah Likely,Coastal Carolina,https://walterfootball.com/scoutingreport2022ilikely.php
235,Trey McBride,Colorado State,https://walterfootball.com/scoutingreport2022tmcbride.php
236,Cade Otton,Washington,https://walterfootball.com/scoutingreport2022cotton.php
237,Jeremy Ruckert,Ohio State,https://walterfootball.com/scoutingreport2022jruckert.php
238,Jalen Wydermyer,Texas A&M,https://walterfootball.com/scoutingreport2022jwydermyer.php
239,Charles Cross,Mississippi State,https://walterfootball.com/scoutingreport2022ccross.php
240,Ikem Ekwonu,N.C. State,https://walterfootball.com/scoutingreport2022iekwonu.php
241,Daniel Faalele,Minnesota,https://walterfootball.com/scoutingreport2022dfaalele.php
242,Darian Kinnard,Kentucky,https://walterfootball.com/scoutingreport2022dkinnard.php
243,Abraham Lucas,Washington State,https://walterfootball.com/scoutingreport2022alucas.php
244,Evan Neal,Alabama,https://walterfootball.com/scoutingreport2022eneal.php
245,Trevor Penning,Northern Iowa,https://walterfootball.com/scoutingreport2022tpenning.php
246,Nick Petit-Frere,Ohio State,https://walterfootball.com/scoutingreport2022npetitfrere.php
247,Bernhard Raimann,Central Michigan,https://walterfootball.com/scoutingreport2022braimann.php
248,Tyler Smith,Tulsa,https://walterfootball.com/scoutingreport2022tsmith.php
249,Rasheed Walker,Penn State,https://walterfootball.com/scoutingreport2022rwalker.php
250,Luke Goedeke,Central Michigan,https://walterfootball.com/scoutingreport2022lgoedeke.php
251,Kenyon Green,Texas A&M,https://walterfootball.com/scoutingreport2022kgreen.php
252,Chasen Hines,LSU,https://walterfootball.com/scoutingreport2022chines.php
253,Ed Ingram,LSU,https://walterfootball.com/scoutingreport2022eingram.php
254,Zion Johnson,Boston College,https://walterfootball.com/scoutingreport2022zjohnson.php
255,Jamaree Salyer,Georgia,https://walterfootball.com/scoutingreport2022jsalyer.php
256,Luke Fortner,Kentucky,https://walterfootball.com/scoutingreport2022lfortner.php
257,Tyler Linderbaum,Iowa,https://walterfootball.com/scoutingreport2022tlinderbaum.php
258,Cam Jurgens,Nebraska,https://walterfootball.com/scoutingreport2022cjurgens.php
259,Zachary Carter,Florida,https://walterfootball.com/scoutingreport2022zcarter.php
260,Micheal Clemons,Texas A&M,https://walterfootball.com/scoutingreport2022mclemons.php
261,Arnold Ebiketie,Penn State,https://walterfootball.com/scoutingreport2022aebiketie.php
262,Kingsley Enagbare,South Carolina,https://walterfootball.com/scoutingreport2022kenagbare.php
263,Logan Hall,Houston,https://walterfootball.com/scoutingreport2022lhall.php
264,Aidan Hutchinson,Michigan,https://walterfootball.com/scoutingreport2022ahutchinson.php
265,Drake Jackson,USC,https://walterfootball.com/scoutingreport2022djackson.php
266,Jermaine Johnson,Florida State,https://walterfootball.com/scoutingreport2022jjohnson.php
267,George Karlaftis,Purdue,https://walterfootball.com/scoutingreport2022gkarlaftis.php
268,Boye Mafe,Minnesota,https://walterfootball.com/scoutingreport2022bmafe.php
269,David Ojabo,Michigan,https://walterfootball.com/scoutingreport2022dojabo.php
270,Josh Paschal,Kentucky,https://walterfootball.com/scoutingreport2022jpaschal.php
271,Kayvon Thibodeaux,Oregon,https://walterfootball.com/scoutingreport2022kthibodeaux.php
272,Cameron Thomas,San Diego State,https://walterfootball.com/scoutingreport2022cthomas.php
273,Travon Walker,Georgia,https://walterfootball.com/scoutingreport2022twalker.php
274,Jordan Davis,Georgia,https://walterfootball.com/scoutingreport2022jdavis.php
275,Travis Jones,Connecticut,https://walterfootball.com/scoutingreport2022tjones.php
276,DeMarvin Leal,Texas A&M,https://walterfootball.com/scoutingreport2022dleal.php
277,Phidarian Mathis,Alabama,https://walterfootball.com/scoutingreport2022pmathis.php
278,John Ridgeway,Arkansas,https://walterfootball.com/scoutingreport2022jridgeway.php
279,Perrion Winfrey,Oklahoma,https://walterfootball.com/scoutingreport2022pwinfrey.php
280,Devonte Wyatt,Georgia,https://walterfootball.com/scoutingreport2022dwyatt.php
281,Adam Anderson,Georgia,https://walterfootball.com/scoutingreport2022aanderson.php
282,Amaré Barno,OLB,https://walterfootball.com/scoutingreport2022abarno.php
283,Nik Bonitto,Oklahoma,https://walterfootball.com/scoutingreport2022nbonitto.php
284,Leo Chenal,Wisconsin,https://walterfootball.com/scoutingreport2022lchenal.php
285,Damone Clark,LSU,https://walterfootball.com/scoutingreport2022dclark.php
286,Nakobe Dean,Georgia,https://walterfootball.com/scoutingreport2022ndean.php
287,Christian Harris,Alabama,https://walterfootball.com/scoutingreport2022charris.php
288,Devin Lloyd,Utah,https://walterfootball.com/scoutingreport2022dlloyd.php
289,Chad Muma,Wyoming,https://walterfootball.com/scoutingreport2022cmuma.php
290,Quay Walker,Georgia,https://walterfootball.com/scoutingreport2022qwalker.php
291,Andrew Booth,Clemson,https://walterfootball.com/scoutingreport2022abooth.php
292,Kaiir Elam,Florida,https://walterfootball.com/scoutingreport2022kelam.php
293,Martin Emerson,Mississippi State,https://walterfootball.com/scoutingreport2022memerson.php
294,Ahmad ‘Sauce’ Gardner,Cincinnati,https://walterfootball.com/scoutingreport2022agardner.php
295,Kyler Gordon,Washington,https://walterfootball.com/scoutingreport2022kgordon.php
296,Roger McCreary,Auburn,https://walterfootball.com/scoutingreport2022rmccreary.php
297,Trent McDuffie,Washington,https://walterfootball.com/scoutingreport2022tmcduffie.php
298,Derek Stingley,LSU,https://walterfootball.com/scoutingreport2022dstingley.php
299,Tariq Woolen,UTSA,https://walterfootball.com/scoutingreport2022twoolen.php
300,Jaquan Brisker,Penn State,https://walterfootball.com/scoutingreport2022jbrisker.php
301,Lewis Cine,Georgia,https://walterfootball.com/scoutingreport2022lcine.php
302,Bryan Cook,Cincinnati,https://walterfootball.com/scoutingreport2022bcook.php
303,Yusuf Corker,Kentucky,https://walterfootball.com/scoutingreport2022ycorker.php
